,datetimes,stamp,distance,alert
0,2009-04-12 22:45:00,7,1.0950666666666735,False
1,2008-03-24 01:30:00,14,2.0388,False
2,2009-10-28 14:15:00,35,1.6103999999999954,False
3,2009-05-03 04:30:00,21,0.7766666666666644,False
4,2008-10-01 18:30:00,1,5.846800000000003,False
0,2008-07-20 03:00:00,2,2.008933333333334,False
1,2009-03-22 06:30:00,2,0.7739999999999994,False
2,2007-12-11 02:30:00,3,3.168266666666666,False
3,2007-06-18 05:00:00,1,0.5125333333333338,False
4,2008-10-03 22:00:00,14,6.940933333333325,False
0,2007-06-21 07:45:00,7,2.101333333333327,False
1,2009-03-28 18:15:00,1,33.57733333333332,True
2,2007-12-24 23:00:00,35,1.4906666666666677,False
3,2008-08-28 05:45:00,2,0.27640000000000003,False
4,2007-12-25 01:45:00,5,0.15706666666666597,False
0,2007-06-17 16:00:00,5,20.89199999999999,True
1,2007-04-15 10:00:00,1,0.3648000000000016,False
2,2008-01-22 20:30:00,2,4.212533333333326,False
3,2008-02-07 16:45:00,2,1.9057333333333335,False
4,2008-09-09 03:45:00,5,0.8396000000000011,False
0,2009-10-17 08:15:00,1,4.735333333333331,False
1,2008-09-15 09:15:00,2,2.4722666666666675,False
2,2007-04-25 17:15:00,7,0.07279999999999959,False
3,2009-11-02 16:30:00,1,2.242533333333332,False
4,2009-02-15 15:30:00,7,2.0970666666666684,False
0,2009-04-18 09:00:00,3,23.032533333333337,True
1,2007-05-03 04:45:00,35,1.0014666666666665,False
2,2008-04-26 08:30:00,21,0.4542666666666672,False
3,2009-09-17 17:00:00,21,0.9742666666666708,False
4,2007-09-27 14:45:00,1,0.37426666666666614,False
0,2009-04-13 15:00:00,21,1.6799999999999928,False
1,2007-02-17 08:30:00,5,30.824933333333327,True
2,2008-01-08 04:30:00,28,0.8297333333333348,False
3,2007-09-16 15:15:00,5,0.6561333333333301,False
4,2007-04-27 09:30:00,3,0.35533333333333245,False
0,2008-07-03 23:00:00,14,12.66213333333334,False
1,2008-01-19 11:15:00,14,1.4925333333333337,False
2,2009-08-06 13:00:00,7,1.3606666666666678,False
3,2009-03-13 10:00:00,28,25.63720000000001,True
4,2008-03-11 07:00:00,35,2.1386666666666687,False
0,2009-04-28 02:45:00,5,0.2226666666666685,False
1,2007-09-28 14:00:00,35,0.8302666666666729,False
2,2007-07-28 20:30:00,21,6.429066666666668,False
3,2009-10-22 16:00:00,2,1.4573333333333331,False
4,2007-04-13 13:15:00,28,0.49506666666666543,False
